# mscm-business-analytics : releve automatique des PDF d'horaire officiels.
# Genere par tools_pdf_horaires.py, ne pas editer a la main sans raison.

@semestre automne-2026
Lundi | 08:00 | 10:00 | Data Science Methods for Management - BA orientation | Amphipôle/B | hebdomadaire | First week dedicated to projects - lecture starts 28th of September
Vendredi | 10:15 | 12:00 | Strategic Pricing | Anthropole/3032 | irregulier | D é b u t e le 2 5 se p t e m b re Christen
Vendredi | 12:30 | 14:00 | Genes, Populations and Evolution - BEE orientation | Internef/122 | hebdomadaire | First week dedicated to projects - lecture starts 25th of September
Vendredi | 14:15 | 18:00 | Optimization Methods for Management - BA orientation | Internef/275 | hebdomadaire | First week dedicated to projects - lecture starts 25th of September

@semestre printemps-2026
Lundi | 08:30 | 12:00 | Machine Learning In Business Analytics | Anthropole/3021 | hebdomadaire | 
Lundi | 10:15 | 14:00 | Methods | Internef/122 | irregulier | Pause de 12h à 12h30
Lundi | 12:30 | 14:00 | CTh -e MaSnuasgteamineanbtle of RLiosgk,istics Rep-utation andAnthropole |  | irregulier | Leg4it1i6m5a -cy - AntGhraojdpaole /
Lundi | 14:15 | 17:00 | Crisis Management | Anthropole/3185 | hebdomadaire | 16 février uniquement
Lundi | 14:15 | 18:00 | Power and Leadership | Anthropole/3021 | hebdomadaire | 
Mardi | 08:30 | 12:00 | Production Planning and Scheduling | Anthropole/5081 | hebdomadaire | 
Mardi | 14:15 | 18:00 | Neuro Economie | Internef/233 | hebdomadaire | Printemps
Mercredi | 08:30 | 12:00 | Supply Chain Network Design and Planning | Géopolis/1620 | hebdomadaire | 
Jeudi | 08:30 | 12:00 | Simple Rules for Leadership and Strategy: a Practical Approach | Internef - | hebdomadaire | Sauf le 1er mai dans la salle 129 à Internef / 233 - Marewski Julian
Vendredi | 08:30 | 12:00 | Analytics in Action: Operations Management through Simulation (for BA orientation only) | Anthropole/4021 | irregulier | Pour les étudiant.es de l'orientation BA uniquement Hayek
Vendredi | 08:30 | 12:00 | Social Well Being - Génopode |  | hebdomadaire | C - Clergue Valentina
Vendredi | 10:30 | 12:00 | Analytics in Action: Business Intelligence with Real Data (for BA orientation |  | irregulier | 
Vendredi | 12:30 | 14:00 | Analytics in Action: Business Intelligence with Real Data (for BA onlyC) -/ orientation étudianPtr.oejsect Pour les de |  | irregulier | 
Vendredi | 13:15 | 17:00 | / Advanced - u-tsourcing in a Digital C - Era - Inte rn e f |  | hebdomadaire | D e ci s 123 - Bie n z D u rant Pius V du
Vendredi | 14:15 | 18:00 | Multicriteria rn e f | Anthropole/5021 | hebdomadaire | D e ci s ion Analysis / n z D u rant les 7 premières semaines du semestre
