# mscm-strategy : releve automatique des PDF d'horaire officiels.
# Genere par tools_pdf_horaires.py, ne pas editer a la main sans raison.

@semestre automne-2026
Lundi | 08:00 | 10:00 | Data Science Methods for Management - BA orientation | Amphipôle/B | hebdomadaire | First week dedicated to projects - lecture starts 28th of September
Jeudi | 12:30 | 14:00 | Organizational Theory and Decision Making - SOL/BEE orientations | Internef 273 | hebdomadaire | First week dedicated to projects - lecture starts 24th of September - except 19 nov in and 3 déc in ? room to be confirmed - Amphimax / 410 - Grieder Manuel
Jeudi | 12:30 | 16:00 | Normes comptables (IFRS) | Anthropole/2106 | hebdomadaire | 
Jeudi | 14:15 | 18:00 | Digital Strategies and Innovation | Internef/237 | hebdomadaire | Automne
Jeudi | 14:15 | 18:00 | Social Norms, Culture, Organizations and Climate Change: Mechanisms of Behavioral Change | Anthropole/3021 | hebdomadaire | Débute le 24 septembre
Jeudi | 16:15 | 18:00 | Genes, Populations and Evolution - BEE orientation | Internef/122 | hebdomadaire | First week dedicated to projects - lecture starts 24th of September
Vendredi | 08:00 | 12:00 | Strategic Marketing - MKT orientation | Amphimax/415 | hebdomadaire | First week dedicated to projects - lecture starts 25th of September
Vendredi | 10:15 | 12:00 | Human Decision- Making and the SDGs | Internef/129 | hebdomadaire | Débute le 25 septembre
Vendredi | 10:15 | 12:00 | Strategic Pricing | Anthropole/3032 | hebdomadaire | Débute le 25 septembre
Vendredi | 12:30 | 14:00 | Genes, Populations and Evolution - BEE orientation | Internef/122 | hebdomadaire | First week dedicated to projects - lecture starts 25th of September
Vendredi | 12:30 | 14:00 | Applied Strategy Consulting | Anthropole/5021 | irregulier | Débute le 25 septembre
Vendredi | 12:30 | 14:00 | Human Decision- Making and the SDGs | Internef/129 | hebdomadaire | Débute le 25 septembre
Vendredi | 14:15 | 18:00 | Optimization Methods for Management - BA orientation | Internef/275 | hebdomadaire | First week dedicated to projects - lecture starts 25th of September

@semestre printemps-2026
Lundi | 09:30 | 13:00 | Group Processes | Amphimax/413 | irregulier | 
Lundi | 10:15 | 14:00 | Methods | Internef/122 | irregulier | de 12h à 12h30
Lundi | 12:30 | 14:00 | The iRcissk, Reputation / |  | irregulier | 
Lundi | 14:15 | 17:00 | Crisis 16 février | Anthropole 3185 | irregulier | 
Lundi | 14:15 | 18:00 | Managing C o t / | Internef/125 | irregulier | Zanarone / Giorgio /
Lundi | 14:15 | 18:00 | Power and | Anthropole 3021 | irregulier | 
Mardi | 08:30 | 12:00 | Innovation Strategy Project (for SOL orientations only) | Amphipôle/340 | hebdomadaire | Pour les étudiant.es de l'orientation SOL uniquement
Mardi | 14:15 | 18:00 | Management of AI in Organizations / | Internef/126 | irregulier | 
Mardi | 14:15 | 18:00 | Neuro Economie | Internef/233 | hebdomadaire | Printemps
Mardi | 14:15 | 18:00 | Sustainability Strategy Project | Amphimax 413 | irregulier | En priorité pour les étudiant.es SOL, puis Marketing et BEE - sauf le 26 mai dans la salle Cubotron / 407 - Aeschlimann Steve, Fischer
Mercredi | 08:30 | 12:00 | Grand Challenges Strategy Project | Internef/233 | hebdomadaire | 
Mercredi | 08:30 | 12:00 | Strategy Development Project (for SOL orientation only) | Anthropole/4165 | hebdomadaire | Pour les étudiant.es de l'orientation SOL uniquement
Mercredi | 14:15 | 18:00 | International Strategy | Amphimax/415 | hebdomadaire | 
Jeudi | 08:30 | 12:00 | Simple Rules for Leadership and Strategy: a Practical Approach | Internef - | hebdomadaire | Sauf le 1er mai dans la salle 129 à Internef / 233 - Marewski Julian
Jeudi | 14:15 | 18:00 | Corporate Strategy | Anthropole 3021 | hebdomadaire | Sauf le 28 mai à Anthropole / 2064 - Castaner Xavier
Vendredi | 08:30 | 12:00 | Social Well Being - Génopode |  | hebdomadaire | C - Clergue Valentina
Vendredi | 13:15 | 17:00 | Advanced Project Management & Outsourcing in a Digital Era | Internef/123 | hebdomadaire | 
